Model,TumourType,Treatment,Treatment target,Treatment type,BestResponse,Day_BestResponse,BestAvgResponse,Day_BestAvgResponse,TimeToDouble,Day_Last,ResponseCategory
X-135,GC,untreated,"UNKNOWN,Untreated",single,96.3,20,24.4,13,21.1,55,PD
X-136,GC,untreated,"UNKNOWN,Untreated",single,62.8,21,18.5,14,24.7,42,PD
X-1362,PDAC,untreated,"UNKNOWN,Untreated",single,116.8,22,32.4,15,19.1,22,PD
X-137,GC,untreated,"UNKNOWN,Untreated",single,342.7,21,80.0,14,9.1,21,PD
X-1371,BRCA,untreated,"UNKNOWN,Untreated",single,384.6,20,77.9,13,9.8,21,PD
X-1383,BRCA,untreated,"UNKNOWN,Untreated",single,90.7,20,28.6,14,24.9,76,PD
X-1407,BRCA,untreated,"UNKNOWN,Untreated",single,189.1,20,43.2,14,14.9,34,PD
X-141,GC,untreated,"UNKNOWN,Untreated",single,-22.8,11,-10.9,18,49.5,112,SD-->PD
X-142,GC,untreated,"UNKNOWN,Untreated",single,316.4,21,70.6,13,9.7,42,PD
X-144,GC,untreated,"UNKNOWN,Untreated",single,766.0,13,264.3,13,4.6,13,PD
X-1441,CRC,untreated,"UNKNOWN,Untreated",single,148.5,21,49.0,14,15.1,49,PD
X-1442,NSCLC,untreated,"UNKNOWN,Untreated",single,111.8,13,62.3,13,12.2,13,PD
X-1443,CRC,untreated,"UNKNOWN,Untreated",single,-7.9,20,-2.1,20,40.8,61,SD-->PD
X-146,GC,untreated,"UNKNOWN,Untreated",single,13.7,53,34.6,11,16.3,88,PD
X-1468,BRCA,untreated,"UNKNOWN,Untreated",single,121.0,21,20.8,14,19.5,35,PD
X-1479,CRC,untreated,"UNKNOWN,Untreated",single,-4.1,11,-4.4,11,88.0,88,SD-->PD
X-1499,NSCLC,untreated,"UNKNOWN,Untreated",single,412.9,12,185.4,12,5.0,12,PD
X-1500,CRC,untreated,"UNKNOWN,Untreated",single,289.0,25,59.5,11,8.8,32,PD
X-1536,CRC,untreated,"UNKNOWN,Untreated",single,107.6,23,15.2,13,22.1,43,PD
X-1538,CRC,untreated,"UNKNOWN,Untreated",single,3.4,10,2.3,15,76.0,76,SD-->PD
